id,station,date,prcp,tobs
1001,USC00519397,1/1/2010,0.08,65
1002,USC00519397,1/2/2010,0,63
1003,USC00519397,1/3/2010,0,74
1004,USC00519397,1/4/2010,0,76
1005,USC00519397,1/6/2010,,73
1006,USC00519397,1/7/2010,0.06,70
1007,USC00519397,1/8/2010,0,64
1008,USC00519397,1/9/2010,0,68
1009,USC00519397,1/10/2010,0,73
1010,USC00519397,1/11/2010,0.01,64
1011,USC00519397,1/12/2010,0,61
1012,USC00519397,1/14/2010,0,66
1013,USC00519397,1/15/2010,0,65
1014,USC00519397,1/16/2010,0,68
1015,USC00519397,1/17/2010,0,64
1016,USC00519397,1/18/2010,0,72
1017,USC00519397,1/19/2010,0,66
1018,USC00519397,1/20/2010,0,66
1019,USC00519397,1/21/2010,0,69
1020,USC00519397,1/22/2010,0,67
1021,USC00519397,1/23/2010,0,67
1022,USC00519397,1/24/2010,0.01,71
1023,USC00519397,1/25/2010,0,67
1024,USC00519397,1/26/2010,0.04,76
1025,USC00519397,1/27/2010,0.12,68
1026,USC00519397,1/28/2010,0,72
1027,USC00519397,1/30/2010,,70
1028,USC00519397,1/31/2010,0.03,67
1029,USC00519397,2/1/2010,0.01,66
1030,USC00519397,2/3/2010,,67
1031,USC00519397,2/4/2010,0.01,69
1032,USC00519397,2/5/2010,0,67
1033,USC00519397,2/6/2010,0,67
1034,USC00519397,2/7/2010,0,64
1035,USC00519397,2/8/2010,0,69
1036,USC00519397,2/9/2010,0,73
1037,USC00519397,2/11/2010,0,73
1038,USC00519397,2/12/2010,0.02,69
1039,USC00519397,2/13/2010,0.01,69
1040,USC00519397,2/14/2010,0,69
1041,USC00519397,2/15/2010,0,71
1042,USC00519397,2/16/2010,0,61
1043,USC00519397,2/17/2010,0,69
1044,USC00519397,2/19/2010,,63
1045,USC00519397,2/20/2010,0.03,64
1046,USC00519397,2/21/2010,0,65
1047,USC00519397,2/22/2010,0,67
1048,USC00519397,2/23/2010,0,68
1049,USC00519397,2/24/2010,0,65
1050,USC00519397,2/25/2010,0,76
1051,USC00519397,2/26/2010,0,75
1052,USC00519397,2/28/2010,0,66
1053,USC00519397,3/1/2010,0.01,70
1054,USC00519397,3/2/2010,0,72
1055,USC00519397,3/3/2010,0,73
1056,USC00519397,3/4/2010,0.12,70
1057,USC00519397,3/5/2010,0.08,71
1058,USC00519397,3/6/2010,0.03,72
1059,USC00519397,3/7/2010,0,72
1060,USC00519397,3/8/2010,0.43,69
1061,USC00519397,3/9/2010,0.06,70
1062,USC00519397,3/11/2010,,73
1063,USC00519397,3/12/2010,0,72
1064,USC00519397,3/13/2010,0,73
1065,USC00519397,3/14/2010,0,70
1066,USC00519397,3/15/2010,0.06,71
1067,USC00519397,3/17/2010,0,68
1068,USC00519397,3/18/2010,0,70
1069,USC00519397,3/21/2010,0,72
1070,USC00519397,3/22/2010,0,69
